STATE YEAR AVE.DAYS CCPD NUM.DCHG
1 1 8.40237810577571 9435.21226441754 230.015
1 2 8.25145800229191 10514.9283203899 234.739
1 3 8.22910944508156 11927.7128398095 245.027
1 4 7.98709145839055 12911.5980561351 243.947
1 5 7.45531844077033 13097.9679740232 258.384
1 6 7.05750024833994 13344.0141515561 261.738
2 1 7.82444243520193 9379.48749246534 6.636
2 2 7.64423631123919 9737.73962536023 6.94
2 3 7.21828407010201 10011.7968872613 7.646
2 4 7.00775295663601 11077.4120893561 7.61
2 5 7.00838497994896 12035.1426661806 8.229
2 6 7.01331096196868 13140.1258389262 8.94
3 1 7.28111198076816 9602.68169620395 143.096
3 2 7.25205965609024 10822.4740166462 142.014
3 3 7.16191904047976 12135.8862832735 141.404
3 4 7.39302762598008 13005.1009712652 138.891
3 5 6.62388757098699 13755.6115304435 139.11
3 6 6.12175908911248 14269.5042611174 144.211
4 1 8.35539322476989 6945.78656527422 146.888
4 2 8.37875352796928 7860.13803200455 151.291
4 3 8.35349600569485 8853.36627646392 151.716
4 4 8.05070019421445 9243.20308698763 146.745
4 5 7.53889749833961 9372.92428603055 158.095
4 6 7.21792611967173 9614.6277490318 158.283
5 1 7.57349783133892 13114.4884502903 849.372
5 2 7.6333039476521 14696.0242381075 885.919
5 3 7.27688194824305 16592.6901406901 908.593
5 4 6.90380176601626 17450.5532231586 894.216
5 5 6.57686654925106 17911.9987235194 905.615
5 6 6.19431920299531 18366.4265174037 902.479
6 1 8.27571259430316 9755.92431284676 102.197
6 2 8.4005571819813 10989.2451884031 105.89
6 3 8.16453738079639 12247.0019199971 109.896
6 4 7.53158416116579 12932.2309629396 108.013
6 5 6.80072753728629 12887.9476536923 109.96
6 6 6.17326809074651 12565.3285067134 110.153
7 1 11.988826720634 11783.1053383446 117.602
7 2 11.3207466438466 12879.3146112058 130.879
7 3 10.7207837038437 13913.486217597 137.603
7 4 10.2509877132809 14063.2334404261 138.198
7 5 9.35593742344171 14216.5906275155 142.865
7 6 8.02051750001728 14375.888301292 144.657
8 1 9.60554786059222 10189.8762774679 26.713
8 2 9.42211905276038 11383.609263658 27.786
8 3 8.77017357663734 12132.1093498579 29.209
8 4 8.78676173819454 13333.7969191444 29.732
8 5 8.58456384570351 13596.9223638847 30.746
8 6 7.62780689833689 13168.7162363295 30.906
9 1 12.1566725375965 16484.7693808427 36.905
9 2 11.1863066589094 17636.5063204104 37.814
9 3 10.8467955815331 19814.0886010763 38.837
9 4 10.745105615662 21121.5504379186 38.82
9 5 10.0418895705521 21500.293398773 40.75
9 6 8.91762554851292 21031.5792540224 41.02
10 1 9.02251069270538 11505.6402365787 593.629
10 2 8.78821790795788 12941.7902880698 661.784
10 3 8.53070358123443 13855.6305015542 705.846
10 4 8.07905775295372 14765.372085147 720.448
10 5 7.62003087813639 15232.6783868799 761.704
10 6 7.16124715833652 15681.3844973089 771.995
11 1 8.32792399574138 8159.33863066415 282.721
11 2 8.19110082042181 9158.57421706328 294.117
11 3 8.04321019872907 10129.9581403239 306.548
11 4 7.78657040178716 10603.1231100463 308.87
11 5 7.41981999717015 10778.3609468912 325.106
11 6 7.03418878404584 10994.6727908588 330.547
12 1 10.6121529828706 11408.1779385706 27.088
12 2 11.7182258404099 13089.333391817 28.498
12 3 12.2446615632554 15341.5516384636 29.784
12 4 14.6054785368298 17183.2611992651 29.935
12 5 11.9350531865115 18374.038088405 32.057
12 6 9.68666686459045 18206.1224059615 33.683
13 1 6.36985375445496 6272.31962025316 32.548
13 2 6.22657489151579 7023.66452192129 33.415
13 3 6.14663090066187 7671.95880106132 34.297
13 4 5.83099473459513 8243.34700441155 35.135
13 5 5.50185387713729 8269.72114486916 37.489
13 6 5.18521456333783 8657.03841781021 37.821
14 1 9.29154961123732 10159.2775754861 468.795
14 2 8.99331247532686 11231.6816188327 509.157
14 3 8.75501906832251 12415.9973635317 531.772
14 4 8.27923610492373 13374.2216406607 527.507
14 5 7.71046957266598 13761.3365559994 541.684
14 6 7.17640992267899 14213.6542596412 543.966
15 1 8.65609456602835 7856.47466814847 257.344
15 2 8.95223486646369 8887.03268079786 259.143
15 3 8.82786927679212 9862.79522545242 270.434
15 4 7.89826990890391 10339.7835255657 272.24
15 5 7.27598770511982 10527.6205573491 284.346
15 6 6.81095201854834 10739.3218102334 282.505
16 1 8.46853885135135 6698.58574746622 142.08
16 2 8.31715873979062 7590.52146498992 143.373
16 3 8.05576881990917 8382.77387163247 145.099
16 4 7.54346884474971 8761.63101843258 145.449
16 5 6.81664263169351 8846.96576376796 147.008
16 6 6.40761612137939 9042.56127089437 147.109
17 1 8.21935288628855 7598.97654654125 118.959
17 2 8.20261246730237 8604.53730245619 119.657
17 3 8.10129267484256 9678.27758534969 120.68
17 4 8.09676624475346 10454.0814311646 121.747
17 5 7.50445642781707 10865.5938730118 124.988
17 6 6.95954623802461 11478.9886559506 124.735
18 1 9.06347827367367 7786.33764276844 203.739
18 2 8.64561334545365 8714.55112399577 203.515
18 3 8.43663587968624 9506.72392825568 212.644
18 4 8.14811797064863 9855.8314792487 212.324
18 5 7.60860378296556 10357.7785797677 225.273
18 6 7.0384242206056 10579.9248067155 227.773
19 1 8.242642360287 9096.73027312727 219.092
19 2 8.2889490031059 10328.1072492281 219.582
19 3 8.35980692504987 11831.3493160445 224.576
19 4 8.16265488297731 12694.1388772927 225.17
19 5 7.94329158229801 13379.5259700458 236.561
19 6 7.55736590877457 13428.8788123173 244.274
20 1 9.7400502685207 7952.75352150878 55.303
20 2 9.30001538803495 8559.17185015473 58.487
20 3 8.81681298818669 9345.61214576206 61.964
20 4 8.62925976982015 9801.20188824416 62.386
20 5 7.95428207478291 10518.9825237289 64.373
20 6 7.15868365575397 10796.6994667659 64.512
21 1 14.449157962055 6691.65751110965 182.949
21 2 9.63663345686737 6935.19268635724 186.993
21 3 9.26226686944689 7578.46168354278 199.888
21 4 9.37015415893569 8177.07200169752 202.648
21 5 8.66346622731641 8074.97405561 211.221
21 6 7.86288922408097 7545.76748859613 219.443
22 1 12.3609613739664 9397.28684232595 298.115
22 2 11.3348951495752 9893.36083041155 314.591
22 3 10.3297796925249 10664.7512421009 328.677
22 4 10.9208408776862 11442.7690058131 335.792
22 5 9.34014447639893 11726.5622199252 337.633
22 6 8.36716149428378 11881.1974559406 334.662
23 1 9.16237337818616 10465.2829487131 369.802
23 2 8.9861191171529 11499.2793059832 366.043
23 3 8.63485580995322 12399.8606210662 383.695
23 4 8.26943601416287 12869.7462822458 395.4
23 5 7.7720415162326 13010.6703976695 420.173
23 6 7.51089784224314 13294.7623718285 440.133
24 1 7.33829280090448 7512.34029174024 171.591
24 2 7.0953295626365 8270.18444307554 178.57
24 3 6.75381276522413 8945.84405897938 185.692
24 4 6.66260442044248 9605.05591271303 181.837
24 5 6.53968092902644 10046.0514967022 177.39
24 6 6.51704034879464 10653.0039550028 180.278
25 1 7.87575173904609 6198.19476623341 144.332
25 2 7.84893782239725 6894.26765904931 144.232
25 3 7.91776423170447 7669.76229972353 150.105
25 4 7.81997165637996 8379.50017880321 151.004
25 5 7.50919227034984 8808.54647499139 159.645
25 6 7.12802607357335 9218.24022693666 165.685
26 1 9.06578822503945 9595.77380420991 284.519
26 2 8.82475075623333 10681.1088546421 279.345
26 3 8.5346088718632 11917.4098934044 288.192
26 4 8.30335988255762 12766.7968260914 283.373
26 5 7.75262718258245 13098.808629958 296.896
26 6 7.10463445184257 13248.0442085833 303.38
27 1 6.57341485060645 6452.8102504684 40.564
27 2 6.57918989223337 7434.31579338536 40.365
27 3 6.32445371961699 8180.90633439725 40.73
27 4 6.10489889411591 8539.34949878082 40.601
27 5 5.8859229288992 9045.39169586027 40.534
27 6 5.56996728675358 9297.08637273571 40.962
28 1 8.4981023314214 7859.60639785407 70.086
28 2 8.55032862094257 9121.99616009665 69.533
28 3 8.12360863678472 10099.0343048528 70.165
28 4 8.57843137254902 10730.6074450833 67.83
28 5 7.35268838696782 10661.0519545416 70.042
28 6 6.80487770711344 10801.8148796683 71.386
29 1 8.56902807441908 15493.8940068449 38.861
29 2 8.44362359210367 17265.1583141577 41.285
29 3 8.12740286298568 18081.384094524 44.01
29 4 8.12895883035304 19296.8457396748 45.689
29 5 7.69961585679775 20171.8239871688 50.502
29 6 7.4519654370474 20744.6554671104 52.889
30 1 9.9221315529179 8822.09228486647 40.44
30 2 9.89817799921845 9829.9054073857 40.944
30 3 9.80278395133934 10906.6352321909 42.745
30 4 9.54986276303751 11392.9269242499 42.627
30 5 9.00484327260382 11682.562408057 44.185
30 6 8.49343368574393 11936.2837530624 45.307
31 1 12.1518622483712 7354.89368802524 345.201
31 2 12.1045938318202 9005.8952474866 352.908
31 3 12.0701073359697 11428.8768111264 371.73
31 4 11.6654841528277 14830.4177492528 381.109
31 5 10.9443129916592 15598.0437402699 387.972
31 6 10.2578428014467 16371.7104988767 397.052
32 1 7.10408497354095 7381.99345185975 52.534
32 2 7.11946211572892 8241.59266313664 52.502
32 3 6.96468390522073 9115.39927244125 50.855
32 4 6.82332224998524 9763.42782379444 50.827
32 5 6.40513695194141 9782.32641717668 49.835
32 6 6.26367903909383 10204.1089191706 52.617
33 1 17.4788778361583 10359.368761261 741.496
33 2 17.1208026147414 10867.1216409144 743.171
33 3 16.3504470738926 11669.9736293169 771.349
33 4 17.1348380775551 12615.4461630051 777.718
33 5 14.3873052319169 13334.9118580424 797.872
33 6 12.2902848196012 13622.5395203762 814.972
34 1 10.3570189877138 8468.96978058315 272.176
34 2 10.3759306275702 9595.71166815662 279.65
34 3 9.96337459212382 10697.3684578023 293.594
34 4 9.3742467797649 11254.6758879588 300.211
34 5 8.64964018846972 11451.0803662737 318.778
34 6 7.87631403218704 11470.2138406044 342.933
35 1 7.95585517582446 6869.49712381894 38.419
35 2 7.59627099870777 7634.53622194678 37.919
35 3 7.57821862967591 8335.65790346023 39.217
35 4 7.31290382621181 8607.54510888351 37.609
35 5 6.86486415814659 8734.0291295139 38.243
35 6 6.58069870376225 9168.81739382443 37.956
36 1 8.9159240480638 8575.24023257649 532.126
